Presence of Pb,Presence of Cu,Purpose of the study,Main minerals/metals mined,Sample Number,Country,Top Region,Region/Province,corrected Region,District/Deposit Location,Sector details,Mine,Latitude,Longitude,Mineral analyzed,208Pb/206Pb,207Pb/206Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,Sources,Full reference
No Pb,Cu major,Archaeo,Cu,210,Afghanistan,,,Bezarak,,,unknown,34.379527,67.186112,Cu,0.7015,0.3115,59.6658711217184,18.5859188544153,41.8556085918855,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,Cu,239,Afghanistan,,,Bezarak,,,unknown,34.379527,67.186112,Cu,2.0721,0.8301,18.8217579521927,15.6239412761152,39.0005646527385,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,Cu,217,Afghanistan,,,Bezarak,,,unknown,34.379527,67.186112,Cu,1.4256,0.403,44.8430493273543,18.0717488789238,63.9282511210763,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,Cu,216,Afghanistan,,,Bezarak,,,unknown,34.379527,67.186112,Cu,1.8583,0.6284,24.9875062468766,15.7021489255373,46.4342828585708,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
Pb minor,Cu major,Archaeo,Cu,221,Afghanistan,,,Bezarak,,Bezarak,Hindukusch,34.9757144195525,71.0430317159447,Cu,2.0739,0.8338,18.8501413760603,15.7172478793591,39.0933081998115,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
Pb minor,Cu major,Archaeo,Cu,226,Afghanistan,,,Bezarak,,,Wostok,34.379527,67.186112,Cu,2.0918,0.8445,18.5322461082283,15.6504818383988,38.765752409192,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
Pb minor,Cu major,Archaeo,Cu,224,Afghanistan,,,Bezarak,,,Wostok,34.379527,67.186112,Cu,2.0916,0.8442,18.5563184264242,15.6652440155873,38.8123956207089,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,Copper mine,202,Afghanistan,,,Kabul,,Ainak,Kabul,34.5260131,69.1776476,Cu,1.7435,0.5887,27.7161862527716,16.3165188470066,48.3231707317073,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,"copper-bearing quartz vein, hosted in Proterozoic calcareous schist. Thein vein is up to 6 m thick and has been traced over a distance of 500 m",201,Afghanistan,,,Kabul,,Maydan,Kabul,34.47278,68.76972,Cu,2.091,0.8327,18.9000189000189,15.7380457380457,39.5199395199395,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,0.4 to 2.3% Cu,MA-150329,Afghanistan,,,Kabul,,,Mes Aynak (St. Kraus),34.2691263,69.3009086,Ore,1.6782,0.5727,28.527,16.337,47.875,"Thomalsky et al., 2019","Thomalsky, J., BrÑutigam, B., Karaucak, M., Kraus, S., 2019. Early mining and metal production in Afghanistan: The first year of investigations. ArchÑologische Mitteilungen aus Iran und Turan 45, 199-230."
No Pb,Cu major,Archaeo,0.4 to 2.3% Cu,MA-150324,Afghanistan,,,Kabul,,,Mes Aynak (St. Kraus),34.2691263,69.3009086,Ore,2.0361,0.79085,19.986,15.806,40.694,"Thomalsky et al., 2019","Thomalsky, J., BrÑutigam, B., Karaucak, M., Kraus, S., 2019. Early mining and metal production in Afghanistan: The first year of investigations. ArchÑologische Mitteilungen aus Iran und Turan 45, 199-230."
No Pb,Cu major,Geol,0.4 to 2.3% Cu,MA-150321,Afghanistan,,,Kabul,,,Mes Aynak (St. Kraus),34.2691263,69.3009086,Ore,1.9555,0.71295,22.425,15.988,43.851,"Thomalsky et al., 2019","Thomalsky, J., BrÑutigam, B., Karaucak, M., Kraus, S., 2019. Early mining and metal production in Afghanistan: The first year of investigations. ArchÑologische Mitteilungen aus Iran und Turan 45, 199-230."
No Pb,Cu major,Archaeo,0.4 to 2.3% Cu,MA-150323,Afghanistan,,,Kabul,,,Mes Aynak (St. Kraus),34.2691263,69.3009086,Ore,1.9941,0.73977,21.52,15.92,42.914,"Thomalsky et al., 2019","Thomalsky, J., BrÑutigam, B., Karaucak, M., Kraus, S., 2019. Early mining and metal production in Afghanistan: The first year of investigations. ArchÑologische Mitteilungen aus Iran und Turan 45, 199-230."
No Pb,Cu major,Archaeo,0.4 to 2.3% Cu,MA-150328,Afghanistan,,,Kabul,,,Mes Aynak (St. Kraus),34.2691263,69.3009086,Ore,2.0275,0.74886,21.228,15.897,43.039,"Thomalsky et al., 2019","Thomalsky, J., BrÑutigam, B., Karaucak, M., Kraus, S., 2019. Early mining and metal production in Afghanistan: The first year of investigations. ArchÑologische Mitteilungen aus Iran und Turan 45, 199-230."
No Pb,Cu major,Archaeo,0.4 to 2.3% Cu,MA-150331,Afghanistan,,,Kabul,,,Mes Aynak (St. Kraus),34.2691263,69.3009086,Ore,2.009,0.73192,21.763,15.929,43.724,"Thomalsky et al., 2019","Thomalsky, J., BrÑutigam, B., Karaucak, M., Kraus, S., 2019. Early mining and metal production in Afghanistan: The first year of investigations. ArchÑologische Mitteilungen aus Iran und Turan 45, 199-230."
No Pb,Cu major,Archaeo,0.4 to 2.3% Cu,MA-150327,Afghanistan,,,Kabul,,,Mes Aynak (St. Kraus),34.2691263,69.3009086,Ore,1.9981,0.71168,22.465,15.988,44.888,"Thomalsky et al., 2019","Thomalsky, J., BrÑutigam, B., Karaucak, M., Kraus, S., 2019. Early mining and metal production in Afghanistan: The first year of investigations. ArchÑologische Mitteilungen aus Iran und Turan 45, 199-230."
No Pb,Cu major,Archaeo,0.4 to 2.3% Cu,MA-150322,Afghanistan,,,Kabul,,,Mes Aynak (St. Kraus),34.2691263,69.3009086,Ore,1.9635,0.65903,24.476,16.131,48.059,"Thomalsky et al., 2019","Thomalsky, J., BrÑutigam, B., Karaucak, M., Kraus, S., 2019. Early mining and metal production in Afghanistan: The first year of investigations. ArchÑologische Mitteilungen aus Iran und Turan 45, 199-230."
No Pb,Cu major,Archaeo,0.4 to 2.3% Cu,MA-150330,Afghanistan,,,Kabul,,,Mes Aynak (St. Kraus),34.2691263,69.3009086,Ore,1.9085,0.59209,27.605,16.345,52.684,"Thomalsky et al., 2019","Thomalsky, J., BrÑutigam, B., Karaucak, M., Kraus, S., 2019. Early mining and metal production in Afghanistan: The first year of investigations. ArchÑologische Mitteilungen aus Iran und Turan 45, 199-230."
No Pb,Cu major,Archaeo,Copper-rich mineralizations in silicified and limonitized zones of Late Jurassic-Early Cretaceous quartz porphyry and quartz keratophyre and Oligocene granite porphyry,227,Afghanistan,,,Shaida,,Shaida,Herat,33.86667,61.83333,Cu,2.0888,0.8477,18.4263865855906,15.6200479086052,38.4890362999816,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,Copper-rich mineralizations in silicified and limonitized zones of Late Jurassic-Early Cretaceous quartz porphyry and quartz keratophyre and Oligocene granite porphyry,228/230G,Afghanistan,,,Shaida,,Shaida,Herat,33.86667,61.83333,Cu,2.0854,0.8421,18.5701021355617,15.6378830083565,38.7260909935004,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
No Pb,Cu major,Archaeo,Copper-rich mineralizations in silicified and limonitized zones of Late Jurassic-Early Cretaceous quartz porphyry and quartz keratophyre and Oligocene granite porphyry,228/230D,Afghanistan,,,Shaida,,Shaida,Herat,33.86667,61.83333,Cu,2.0907,0.8444,18.5356811862836,15.6515291936979,38.7525486561631,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
Pb major,Cu minor,Geol,Coarsely crystalline galena associated with HD2 dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Bou Beker ,34.479125,-1.768541,Coarsely crystalline galena associated with HD2 dolomite ,2.09797941288601,0.852023310277218,18.361,15.644,38.521,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Coarsely crystalline galena cementing replacement gray D2 dolostone fragments ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Beddiane ,34.479125,-1.768541,Coarsely crystalline galena cementing replacement gray D2 dolostone fragments ,2.10141766630316,0.85278080697928,18.34,15.64,38.54,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Coarsely crystalline galena cementing replacement gray D2 dolostone fragments ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Bou Beker ,34.479125,-1.768541,Coarsely crystalline galena cementing replacement gray D2 dolostone fragments ,2.09958054148281,0.852208966606744,18.357,15.644,38.542,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Coarsely crystalline galena disseminated within white sparry dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Beddiane ,34.479125,-1.768541,Coarsely crystalline galena disseminated within white sparry dolomite ,2.1001309614755,0.853377714722252,18.326,15.639,38.487,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Cubic-like galena disseminated within replacement gray coarse-crystalline D2 dolostone ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Bou Beker ,34.479125,-1.768541,Cubic-like galena disseminated within replacement gray coarse-crystalline D2 dolostone ,2.09995103106807,0.85156972631808,18.379,15.651,38.595,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Fine-grained galena disseminated within zebra dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Beddiane ,34.479125,-1.768541,Fine-grained galena disseminated within zebra dolomite ,2.10348583877996,0.852941176470588,18.36,15.66,38.62,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Fine-grained galena disseminated within zebra dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Beddiane ,34.479125,-1.768541,Fine-grained galena disseminated within zebra dolomite ,2.10168569874932,0.852637302882001,18.39,15.68,38.65,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Massive galena filling hydrothermal karst ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Beddiane ,34.479125,-1.768541,Massive galena filling hydrothermal karst ,2.1,0.853329694323144,18.32,15.633,38.472,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Octahedral sphalerite incrusted on pink HD3 dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Bou Beker ,34.479125,-1.768541,Octahedral sphalerite incrusted on pink HD3 dolomite ,2.0988219895288,0.852476003490401,18.336,15.631,38.484,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Spherulitic massive karst filling galena ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Beddiane ,34.479125,-1.768541,Spherulitic massive karst filling galena ,2.1003654611902,0.853215513009327,18.333,15.642,38.506,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Spherulitic massive karst filling galena ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Beddiane ,34.479125,-1.768541,Spherulitic massive karst filling galena ,2.10092744135297,0.853246044735407,18.33,15.64,38.51,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Spherulitic massive karst-filling galena ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Bou Beker ,34.479125,-1.768541,Spherulitic massive karst-filling galena ,2.10061523384331,0.852452768552295,18.367,15.657,38.582,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Vein-filling breccia-like galena crosscutting Visean rhyodacite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Beddiane ,34.479125,-1.768541,Vein-filling breccia-like galena crosscutting Visean rhyodacite ,2.09907255864703,0.852700490998363,18.33,15.63,38.476,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Vein-filling breccia-like galena crosscutting Visean rhyodacite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Beddiane ,34.479125,-1.768541,Vein-filling breccia-like galena crosscutting Visean rhyodacite ,2.09997274461706,0.852875442899973,18.345,15.646,38.524,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Vein-filling breccia-like galena crosscutting Visean rhyodacite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Beddiane ,34.479125,-1.768541,Vein-filling breccia-like galena crosscutting Visean rhyodacite ,2.10032715376227,0.85278080697928,18.34,15.64,38.52,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,Cu minor,Geol,Vein-filling breccia-like galena crosscutting Visean rhyodacite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Beddiane ,34.479125,-1.768541,Vein-filling breccia-like galena crosscutting Visean rhyodacite ,2.10068724773645,0.853223519144759,18.334,15.643,38.514,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,No Cu,Geol,Coarse-grained galena associated with HD2 dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Mekta ,34.479125,-1.768541,Coarse-grained galena associated with HD2 dolomite ,2.10092093073947,0.852542095798594,18.351,15.645,38.554,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,No Cu,Geol,Coarse-grained galena associated with HD2 dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Sidi Ameur ,34.479125,-1.768541,Coarse-grained galena associated with HD2 dolomite ,2.09891968572676,0.852575294631165,18.328,15.626,38.469,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,No Cu,Geol,Coarse-grained galena disseminated within replacement pre-ore gray D2 dolostone ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Sidi Ameur ,34.479125,-1.768541,Coarse-grained galena disseminated within replacement pre-ore gray D2 dolostone ,2.09916003054434,0.852296280135268,18.334,15.626,38.486,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,No Cu,Geol,Coarse-grained galena disseminated within replacement pre-ore gray D2 dolostone ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Sidi Ameur ,34.479125,-1.768541,Coarse-grained galena disseminated within replacement pre-ore gray D2 dolostone ,2.09959094627761,0.852740659940005,18.335,15.635,38.496,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,No Cu,Geol,Coarse-grained galena filling voids within HD2 dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Mekta ,34.479125,-1.768541,Coarse-grained galena filling voids within HD2 dolomite ,2.09884957199716,0.852407175181288,18.341,15.634,38.495,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,No Cu,Geol,Coarsely crystalline galena associated with HD2 dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,El Abed ,34.479125,-1.768541,Coarsely crystalline galena associated with HD2 dolomite ,2.09902287242753,0.852884982804738,18.319,15.624,38.452,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,No Cu,Geol,Coarsely crystalline galena associated with HD2 dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,El Abed ,34.479125,-1.768541,Coarsely crystalline galena associated with HD2 dolomite ,2.09930703333879,0.852949200632946,18.327,15.632,38.474,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,No Cu,Geol,Coarsely crystalline galena associated with HD2 dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,El Abed ,34.479125,-1.768541,Coarsely crystalline galena associated with HD2 dolomite ,2.10053458433341,0.853207506000436,18.332,15.641,38.507,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,No Cu,Geol,Main stage ore coarse-grained galena associated with HD2 dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Mekta ,34.479125,-1.768541,Main stage ore coarse-grained galena associated with HD2 dolomite ,2.09775911891391,0.852025516602148,18.341,15.627,38.475,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,No Cu,Geol,Main stage ore coarse-grained galena associated with HD2 dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Mekta ,34.479125,-1.768541,Main stage ore coarse-grained galena associated with HD2 dolomite ,2.09661256943688,0.851377845550594,18.362,15.633,38.498,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb major,No Cu,Geol,Main stage ore coarse-grained galena associated with HD2 dolomite ,,Algeria,,Touissit-Bou Beker mining district,Touissit Bou Beker ,,,Mekta ,34.479125,-1.768541,Main stage ore coarse-grained galena associated with HD2 dolomite ,2.10026155187445,0.852659110723627,18.352,15.648,38.544,"Bouabdellah et al., 2012","Bouabdellah, M., Sangster, D., Leach, D.L., Brown, A.C., Johnson, C.A., Emsbo, P., 2012. Genesis of the Touissit-Bou Beker Mississippi Valley-Type District (Morocco-Algeria) and Its Relationship to the Africa-Europe Collision. Economic Geology 107, 117-146."
Pb minor,Cu major,Archaeo,Cu-Fe,24/ 033,Armenia,,Kaukasien,Alaverdi Kapan ,,44:45 E41:15N,Alaverdi,41.0981,44.64609999999993,Cu-Ee,2.0804,0.843,18.5356811862836,15.6255792400371,38.5616311399444,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
Pb minor,Cu major,Archaeo,Cu-Fe,24/032,Armenia,,Kaukasien,Alaverdi Kapan ,,44:50 E 41:25N,Shamlug,41.1667521,44.7143367,Cu-Ee,2.0793,0.842,18.5425551641016,15.6128314481735,38.5555349527165,"Begemann & Schmitt-Strecker, 2009","Begemann, F., Schmitt-Strecker, S., 2009. öber das frÅhe Kupfer Mesopotamiens. Iranica Antiqua 44, 1-45."
Pb minor,Cu major,Archaeo,VMS Cu,FG-020709,Armenia,,Armenia,Alaverdi Kapan ,,,Alaverdi,41.0981,44.64609999999993,enargite-tennantite,2.05487,0.82354,18.9262,15.5865,38.8888,"Meliksetian et Pernicka, 2010","Meliksetian, K., Pernicka, E., 2010. Geochemical characterisation of Armenian Early Bronze Age metal artefacts and their relation to copper ores, in: Gewinnung Und Verbreitung von Metallen Und Obsidian in Kaukasien. Dr. Rudolf Habelt, Bonn, Germany, pp. 41-58."
Pb minor,Cu major,Archaeo,VMS Cu,FG-020512,Armenia,,Armenia,Alaverdi Kapan ,,,Alaverdi,41.0981,44.64609999999993,enargite-tennantite,2.097,0.85869,18.1929,15.623,38.1571,"Meliksetian et Pernicka, 2010","Meliksetian, K., Pernicka, E., 2010. Geochemical characterisation of Armenian Early Bronze Age metal artefacts and their relation to copper ores, in: Gewinnung Und Verbreitung von Metallen Und Obsidian in Kaukasien. Dr. Rudolf Habelt, Bonn, Germany, pp. 41-58."
Pb minor,Cu major,Archaeo,VMS Cu,FG-010106,Armenia,,Armenia,Alaverdi Kapan ,,,Alaverdi,41.0981,44.64609999999993,enargite-tennantite,2.08247,0.84414,18.5276,15.6407,38.5843,"Meliksetian et Pernicka, 2010","Meliksetian, K., Pernicka, E., 2010. Geochemical characterisation of Armenian Early Bronze Age metal artefacts and their relation to copper ores, in: Gewinnung Und Verbreitung von Metallen Und Obsidian in Kaukasien. Dr. Rudolf Habelt, Bonn, Germany, pp. 41-58."
Pb minor,Cu major,Archaeo,VMS Cu,FG-010108,Armenia,,Armenia,Alaverdi Kapan ,,,Alaverdi,41.0981,44.64609999999993,enargite-tennantite,2.07744,0.84432,18.6414,15.7385,38.724,"Meliksetian et Pernicka, 2010","Meliksetian, K., Pernicka, E., 2010. Geochemical characterisation of Armenian Early Bronze Age metal artefacts and their relation to copper ores, in: Gewinnung Und Verbreitung von Metallen Und Obsidian in Kaukasien. Dr. Rudolf Habelt, Bonn, Germany, pp. 41-58."
