Presence of Pb,Presence of Cu,Purpose of the study,Main minerals/metals mined,Sample Number,Country,Top Region,Region/Province,corrected Region,District/Deposit Location,Sector details,Mine,Latitude,Longitude,Mineral analyzed,208Pb/206Pb,207Pb/206Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,Sources,Full reference
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.08102873130313,0.840578930377704,18.586,15.623,38.678,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.08633832513381,0.847434719143645,18.497,15.675,38.591,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.07581748236803,0.836770677495191,18.716,15.661,38.851,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.08149460460622,0.842916196918452,18.627,15.701,38.772,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.07561769571482,0.836117188750734,18.739,15.668,38.895,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Archaeo,,32,Bulgaria,,,Panagyurski,,Panagyurski region,"Elshitza, borehole 149",42.3687946,24.2185797,,2.084,0.8444,18.49,15.612956,38.53316,"Gale et al., 2000","Gale, N.H., Stos-Gale, Z., Radouncheva, A., Ivanov, I., Lilov, P., Todorov, T., Panayotov, I., 2000. Early Metallurgy in Bulgaria. Annuary of Department of Archaeology - NBU/IAM IV-V, 102-168."
Pb minor,Cu major,Archaeo,,33,Bulgaria,,,Panagyurski,,Panagyurski region,"Elshitza, borehole 157",42.3687946,24.2185797,,2.085,0.8447,18.51,15.635397,38.59335,"Gale et al., 2000","Gale, N.H., Stos-Gale, Z., Radouncheva, A., Ivanov, I., Lilov, P., Todorov, T., Panayotov, I., 2000. Early Metallurgy in Bulgaria. Annuary of Department of Archaeology - NBU/IAM IV-V, 102-168."
Pb minor,Cu major,Archaeo,,31,Bulgaria,,,Panagyurski,,Panagyurski region,"Elshitza, borehole464",42.3687946,24.2185797,,2.084,0.844,18.51,15.62244,38.57484,"Gale et al., 2000","Gale, N.H., Stos-Gale, Z., Radouncheva, A., Ivanov, I., Lilov, P., Todorov, T., Panayotov, I., 2000. Early Metallurgy in Bulgaria. Annuary of Department of Archaeology - NBU/IAM IV-V, 102-168."
Pb minor,Cu major,Archaeo,,30,Bulgaria,,,Panagyurski,,Panagyurski region,"Radka, samp. 1, lev.650",42.3697222222,24.2788888889,,2.083,0.8441,18.5,15.61585,38.5355,"Gale et al., 2000","Gale, N.H., Stos-Gale, Z., Radouncheva, A., Ivanov, I., Lilov, P., Todorov, T., Panayotov, I., 2000. Early Metallurgy in Bulgaria. Annuary of Department of Archaeology - NBU/IAM IV-V, 102-168."
Pb minor,Cu major,Archaeo,,27,Bulgaria,,,Panagyurski,,Panagyurski region,"Radka, samp. 18",42.3697222222,24.2788888889,,2.085,0.8449,18.52,15.647548,38.6142,"Gale et al., 2000","Gale, N.H., Stos-Gale, Z., Radouncheva, A., Ivanov, I., Lilov, P., Todorov, T., Panayotov, I., 2000. Early Metallurgy in Bulgaria. Annuary of Department of Archaeology - NBU/IAM IV-V, 102-168."
